타입(Type)	실명(Room)	부위(Element)	마감재(Material)	규격/상세(Spec)	수량	단위	단가(원)	합계(원)	비고
59㎡	거실/주방	바닥	강마루 (Oak)	115 x 800 x 7.5t	45	m2	45000	2025000	광폭 강마루 (자재비)
59㎡	거실/주방	벽	실크벽지	LG 지인/개나리	110	m2	5000	550000	라이트 그레이 톤
59㎡	거실/주방	천정	실크도배	우물천정 포함	45	m2	5000	225000	간접조명 별도
59㎡	침실1(안방)	바닥	강마루 (Oak)	동일 스펙	18	m2	45000	810000	-
59㎡	침실1(안방)	벽	실크벽지	웜 그레이	45	m2	5000	225000	-
59㎡	공용욕실	바닥/벽	포세린 타일	600 x 600	28	m2	35000	980000	논슬립 (자재비)
84㎡	거실/주방	바닥	수입 원목마루	190 x 1900 x 12t	65	m2	120000	7800000	브러쉬 텍스처
84㎡	거실/주방	벽	친환경 도장(벤자민무어)	스커프엑스	150	m2	25000	3750000	자재비 기준
84㎡	주방 상판	가구	엔지니어드 스톤	칸스톤/비아테라	5.5	m	350000	1925000	아일랜드 포함 (m당 단가)
84㎡	침실1(안방)	바닥	원목마루	동일 스펙	24	m2	120000	2880000	-
84㎡	부부욕실	바닥/벽	이태리 타일	600 x 1200	35	m2	70000	2450000	호텔식 조적 욕조
114㎡	거실/주방	바닥	천연 대리석	1200 x 1200	85	m2	150000	12750000	보티치노/크레마마필
114㎡	거실	아트월	박판 세라믹	3200 x 1600	15	m2	180000	2700000	북매치 시공
114㎡	거실/복도	벽	무늬목 패널	천연 건식 무늬목	180	m2	150000	27000000	히든도어 포함
114㎡	주방	가구	수입 주방 가구	Bulthaup/Arclinea 급	1	식	85000000	85000000	빌트인 가전 별도
114㎡	마스터존	바닥	광폭 원목마루	240 x 2200	40	m2	150000	6000000	헤링본 패턴
114㎡	마스터 욕실	전체	천연석/대형타일	-	45	m2	120000	5400000	"독립형 욕조, 수전 특화"
